Name1,Relationship,Name2
Abraham Lincoln,spouse,Mary Todd Lincoln
Allan Dwan,spouse,Pauline Bush (actress)
Andrei Tarkovsky,spouse,Irma Raush
Andrei Tarkovsky,spouse,Larisa Tarkovskaya
Albert Einstein,spouse,Mileva MariÄ‡
Albert Einstein,spouse,Elsa LÃ¶wenthal
Alexander the Great,spouse,Roxana
Alexander the Great,spouse,Stateira II
Alexander the Great,spouse,Parysatis II
Attila,spouse,Kreka
Attila,spouse,Ildico
Alfred Hitchcock,spouse,Alma Reville
Alexander Graham Bell,spouse,Mabel Hubbard
Akira Kurosawa,spouse,YÅko Yaguchi
A. E. van Vogt,spouse,Edna Mayne Hull
Ada Lovelace,spouse,"William King-Noel, 1st Earl of Lovelace"
Agatha Christie,spouse,Archie Christie
Agatha Christie,spouse,Max Mallowan
Albert Schweitzer,spouse,Helene Bresslau Schweitzer
Albert Schweitzer,spouse,Harry Bresslau
Ashoka,spouse,Asandhimitra
Alexander Mackenzie (politician),spouse,Jane Mackenzie
Antoninus Pius,spouse,Faustina the Elder
Augustus,spouse,Clodia Pulchra
Augustus,spouse,Scribonia
Augustus,spouse,Livia
Amos Bronson Alcott,spouse,Abby May
Aleister Crowley,spouse,Rose Edith Kelly
Alan Kay,spouse,Bonnie MacBird
"Albert, Duke of Prussia",spouse,"Dorothea of Denmark, Duchess of Prussia"
"Albert, Duke of Prussia",spouse,Anna Marie of Brunswick-LÃ¼neburg
Albert the Bear,spouse,Sophie of Winzenburg
Ahmed II,spouse,Rabia Sultan
Ahmed III,spouse,Emine MihriÅŸah Sultan
Ahmed III,spouse,Rabia Åžermi Sultan
Ahmed I,spouse,KÃ¶sem Sultan
Ahmed I,spouse,Mahfiruz Hatice Sultan
Agnes of Merania,spouse,Philip II of France
Agrippina the Elder,spouse,Germanicus
Agrippina the Younger,spouse,Gnaeus Domitius Ahenobarbus (consul 32)
Agrippina the Younger,spouse,Gaius Sallustius Crispus Passienus
Agrippina the Younger,spouse,Claudius
Alboin,spouse,Chlothsind
Alboin,spouse,Rosamund (Gepid)
Alexander II of Scotland,spouse,"Joan of England, Queen of Scots"
Alexander II of Scotland,spouse,Marie de Coucy
Alexander Jagiellon,spouse,Helena of Moscow
"Alexei Petrovich, Tsarevich of Russia",spouse,Charlotte Christine of Brunswick-LÃ¼neburg
Alexander III of Scotland,spouse,Margaret of England
Alexander III of Scotland,spouse,"Yolande de Dreux, Queen of Scots"
Severus Alexander,spouse,Sallustia Orbiana
Alexios I Komnenos,spouse,Irene Doukaina
Andrew Jackson,spouse,Rachel Jackson
Alexander I of Serbia,spouse,Draga MaÅ¡in
Alexander Balas,spouse,Cleopatra Thea
Andrew Johnson,spouse,Eliza McCardle Johnson
Alexander III of Russia,spouse,Maria Feodorovna (Dagmar of Denmark)
Andrew II of Hungary,spouse,Gertrude of Merania
Andrew II of Hungary,spouse,Yolanda de Courtenay
Andrew II of Hungary,spouse,Beatrice D'Este (Queen Consort of Hungary)
Abu Bakr,spouse,Qutaylah bint Abd-al-Uzza
Abu Bakr,spouse,Umm Ruman
Abu Bakr,spouse,Asma bint Umais
Amyntas III of Macedon,spouse,Eurydice I of Macedon
Alfonso the Battler,spouse,Urraca of LeÃ³n and Castile
Afonso V of Portugal,spouse,Isabella of Coimbra
Afonso V of Portugal,spouse,Joanna La Beltraneja
Afonso I of Portugal,spouse,"Mafalda of Savoy, Queen of Portugal"
Alfonso XII of Spain,spouse,Mercedes of OrlÃ©ans
Alfonso XII of Spain,spouse,Maria Christina of Austria
Alfonso XIII of Spain,spouse,Victoria Eugenie of Battenberg
Alfonso V of Aragon,spouse,Maria of Castile
Afonso II of Portugal,spouse,"Urraca of Castile, Queen of Portugal"
Afonso VI of Portugal,spouse,Maria Francisca of Savoy
Afonso III of Portugal,spouse,Matilda II of Boulogne
Afonso III of Portugal,spouse,Beatrice of Castile (1242â€“1303)
Alfred the Great,spouse,Ealhswith
Afonso IV of Portugal,spouse,Beatrice of Castile (1293â€“1359)
Amalasuntha,spouse,Eutharic
Alfonso IV of Aragon,spouse,Teresa d'EntenÃ§a
Alfonso IV of Aragon,spouse,Eleanor of Castile (1307-1359)
Arnold Schwarzenegger,spouse,Maria Shriver
Amitabh Bachchan,spouse,Jaya Bachchan
Amalric of Jerusalem,spouse,Agnes of Courtenay
Amalric of Jerusalem,spouse,"Maria Komnene, Queen of Jerusalem"
Aimery of Cyprus,spouse,Eschiva of Ibelin (died 1196)
Aimery of Cyprus,spouse,Isabella I of Jerusalem
Andrew Carnegie,spouse,Louise Whitfield Carnegie
Aaliyah,spouse,R. Kelly
Anthony Hopkins,spouse,Petronella Barker (actress born 1942)
Aurangzeb,spouse,Dilras Banu Begum
Anton Chekhov,spouse,Olga Knipper
Arnulf of Carinthia,spouse,"Ota, wife of Arnulf of Carinthia"
Aldona of Lithuania,spouse,Casimir III of Poland
Andrei Sakharov,spouse,Yelena Bonner
Abdul Hamid I,spouse,AyÅŸe Seniyeperver Sultan
Abdul Hamid I,spouse,NakÅŸidil Sultan
AbdÃ¼laziz of the Ottoman Empire,spouse,DÃ¼rrÃ¼nev KadÄ±n
AbdÃ¼laziz of the Ottoman Empire,spouse,Edadil KadÄ±n
